ID;NAME;EVA_ID
MBT;Bad Tölz;8000758
KTST;Bad Tönisstein;8070314
TUC;Bad Urach;8006029
TUCK;Bad Urach Ermstalklinik;8006027
TUCW;Bad Urach Wasserfall;8070680
FVL;Bad Vilbel;8000760
FVLS;Bad Vilbel Süd;8000761
FGRN;Bad Vilbel-Gronau;8002382
TBWA;Bad Waldsee;8000763
TWB;Bad Wildbad Bf;8006431
TWBK;Bad Wildbad Kurpark;8070283
TWBN;Bad Wildbad Nord;8070281
TWBU;Bad Wildbad Uhlandplatz;8070282
FBWD;Bad Wildungen;8000764
WWIL;Bad Wilsnack;8011088
RBWF;Bad Wimpfen;8000765
TBWT;Bad Wimpfen Im Tal;8000706
RBWH;Bad Wimpfen-Hohenstadt;8000766
NBWI;Bad Windsheim;8000767
MBWH;Bad Wörishofen;8000768
TBW;Bad Wurzach;8000769
HZWI;Bad Zwischenahn;8000770
HBAD;Baddeckenstedt;8000772
HBDV;Baden(Verden);8000773
RBB;Baden-Baden;8000774
RHEB;Baden-Baden Haueneberstein;8000771
RBBL;Baden-Baden Rebland;8000775
BBG;Bagenz;8011097
RBAL;Bahlingen am Kaiserstuhl;8007293
RBAR;Bahlingen Riedlen;8007310
RBBR;Bahnbrücken;8007144
BBO;Bahnsdorf;8011098
MBAB;Baierbrunn;8000781
RBSN;Baiersbronn Bf;8000782
RBSS;Baiersbronn Schule;8000789
NBD;Baiersdorf;8000783
BBAI;Baitz;8011100
NBAF;Balbersdorf;8000784
MBDH;Baldham;8000785
FBAD;Balduinstein;8000786
TBLH;Balgheim;8000787
UBGS;Balgstädt;8011103
TBGS;Balingen Süd;8000788
TBG;Balingen(Württ);8000353
UBAS;Ballstädt(Gotha);8011106
SBAL;Baltersweiler;8000792
EBAV;Balve;8000793
NBA;Bamberg;8000025
RBAM;Bammental;8000794
WBAM;Bannemin-Mölschow;8011108
WBN;Bansin Seebad;8011109
HBAN;Banteln;8000796
HBTF;Bantorf;8000797
TBA;Barabein;8079098
RBRT;Barbelroth;8000802
ABAD;Bardowick;8000801
DBJ;Bärenhecke-Johnsbach;8011091
BBKL;Bärenklau;8011093
DBS;Bärenstein(Annaberg);8011094
DBAG;Bärenstein(b Glashütte, Sachs);8011095
ABAT;Bargstedt;8007840
ABAE;Bargteheide;8000804
LBAR;Barleben;8011111
LBAS;Barleber See;8011112
ABMS;Barmstedt;8007070
ABMB;Barmstedt Brunnenstr;8007069
DBAE;Bärnsdorf;8011096
HBNF;Barnstorf(Han);8000807
HBNT;Barnten;8000808
HBAR;Barrien;8000810
HBGH;Barsinghausen;8000812
WBH;Barth;8011114
DBAM;Barthmühle;8011115
BBA;Baruth(Mark);8011116
ABAAK;Basdahl Kluste;8070023
BBAS;Basdorf;8010025
RB;Basel Bad Bf;8000026
HBAS;Bassum;8000354
RBZE;Batzenhäusle;8000821
NBH;Batzhausen;8000822
RBBC;Bauerbach;8000823
MBHM;Bäumenheim;8000778
SBH;Baumholder;8007888
NBAU;Baunach;8000826
FGTH;Baunatal-Guntershausen;8000140
FREH;Baunatal-Rengershausen;8005039
DBZ;Bautzen;8010026
ABF;Bavendorf;8000827
MBYB;Bayerbach;8000828
NBEI;Bayerisch Eisenstein;8000830
MBGM;Bayerisch Gmain;8000831
NBY;Bayreuth Hbf;8000028
NBYG;Bayreuth-St Georgen;8000833
MBZ;Bayrischzell;8000834
LBBZ;Bebitz;8011119
FB;Bebra;8000029
UBET;Bechstedt-Trippstein;8011121
